Rozmiar,Sredni_Czas,Max,Min,Procent_Bledow,
100,10605,13073,10062,
Lp,Rozmiar,Czas,Data,
1,100,11669,2026-06-22 01:18:10,
2,100,11113,2026-06-22 01:18:10,
3,100,10634,2026-06-22 01:18:10,
4,100,10452,2026-06-22 01:18:10,
5,100,10539,2026-06-22 01:18:10,
6,100,10174,2026-06-22 01:18:10,
7,100,10631,2026-06-22 01:18:10,
8,100,10295,2026-06-22 01:18:10,
9,100,10545,2026-06-22 01:18:10,
10,100,13073,2026-06-22 01:18:10,
11,100,10532,2026-06-22 01:18:10,
12,100,10607,2026-06-22 01:18:10,
13,100,10450,2026-06-22 01:18:10,
14,100,10506,2026-06-22 01:18:10,
15,100,10549,2026-06-22 01:18:10,
16,100,10476,2026-06-22 01:18:10,
17,100,10317,2026-06-22 01:18:10,
18,100,10833,2026-06-22 01:18:10,
19,100,10380,2026-06-22 01:18:10,
20,100,10819,2026-06-22 01:18:10,
21,100,10561,2026-06-22 01:18:10,
22,100,10410,2026-06-22 01:18:10,
23,100,10441,2026-06-22 01:18:10,
24,100,10749,2026-06-22 01:18:10,
25,100,10513,2026-06-22 01:18:10,
26,100,10318,2026-06-22 01:18:10,
27,100,10565,2026-06-22 01:18:10,
28,100,10556,2026-06-22 01:18:10,
29,100,10062,2026-06-22 01:18:10,
30,100,10359,2026-06-22 01:18:10,
31,100,10640,2026-06-22 01:18:10,
32,100,10518,2026-06-22 01:18:10,
33,100,10439,2026-06-22 01:18:10,
34,100,10473,2026-06-22 01:18:10,
35,100,10314,2026-06-22 01:18:10,
36,100,10404,2026-06-22 01:18:10,
37,100,11125,2026-06-22 01:18:10,
38,100,10658,2026-06-22 01:18:10,
39,100,10494,2026-06-22 01:18:10,
40,100,10537,2026-06-22 01:18:10,
41,100,10620,2026-06-22 01:18:10,
42,100,10562,2026-06-22 01:18:10,
43,100,10541,2026-06-22 01:18:10,
44,100,10826,2026-06-22 01:18:10,
45,100,10513,2026-06-22 01:18:10,
46,100,10602,2026-06-22 01:18:10,
47,100,10586,2026-06-22 01:18:10,
48,100,10557,2026-06-22 01:18:10,
49,100,10275,2026-06-22 01:18:10,
50,100,10451,2026-06-22 01:18:10,
