Rozmiar,Sredni_Czas,Max,Min,Procent_Bledow,
600,1300459,1332896,1283963,
Lp,Rozmiar,Czas,Data,
1,600,1332896,2026-06-22 07:16:43,
2,600,1302377,2026-06-22 07:16:45,
3,600,1297228,2026-06-22 07:16:46,
4,600,1295329,2026-06-22 07:16:48,
5,600,1294294,2026-06-22 07:16:50,
6,600,1298116,2026-06-22 07:16:51,
7,600,1297109,2026-06-22 07:16:53,
8,600,1295236,2026-06-22 07:16:55,
9,600,1298049,2026-06-22 07:16:56,
10,600,1297387,2026-06-22 07:16:58,
11,600,1302037,2026-06-22 07:17:00,
12,600,1299093,2026-06-22 07:17:01,
13,600,1297436,2026-06-22 07:17:03,
14,600,1297101,2026-06-22 07:17:05,
15,600,1299138,2026-06-22 07:17:06,
16,600,1295253,2026-06-22 07:17:08,
17,600,1298924,2026-06-22 07:17:10,
18,600,1297307,2026-06-22 07:17:11,
19,600,1296312,2026-06-22 07:17:13,
20,600,1296915,2026-06-22 07:17:15,
21,600,1296339,2026-06-22 07:17:16,
22,600,1297946,2026-06-22 07:17:18,
23,600,1291780,2026-06-22 07:17:20,
24,600,1312121,2026-06-22 07:17:22,
25,600,1313868,2026-06-22 07:17:23,
26,600,1309719,2026-06-22 07:17:25,
27,600,1308086,2026-06-22 07:17:27,
28,600,1313216,2026-06-22 07:17:28,
29,600,1283963,2026-06-22 07:17:30,
30,600,1296231,2026-06-22 07:17:32,
31,600,1294849,2026-06-22 07:17:33,
32,600,1295965,2026-06-22 07:17:35,
33,600,1298107,2026-06-22 07:17:37,
34,600,1296554,2026-06-22 07:17:38,
35,600,1300008,2026-06-22 07:17:40,
36,600,1295087,2026-06-22 07:17:42,
37,600,1298777,2026-06-22 07:17:43,
38,600,1301433,2026-06-22 07:17:45,
39,600,1307436,2026-06-22 07:17:47,
40,600,1310809,2026-06-22 07:17:48,
41,600,1311254,2026-06-22 07:17:50,
42,600,1299642,2026-06-22 07:17:52,
43,600,1298837,2026-06-22 07:17:54,
44,600,1300383,2026-06-22 07:17:55,
45,600,1297926,2026-06-22 07:17:57,
46,600,1297625,2026-06-22 07:17:59,
47,600,1299450,2026-06-22 07:18:00,
48,600,1300469,2026-06-22 07:18:02,
49,600,1307692,2026-06-22 07:18:04,
50,600,1299855,2026-06-22 07:18:05,
