Rozmiar,Sredni_Czas,Max,Min,Procent_Bledow,
1000,7011,7407,6615,
Lp,Rozmiar,Czas,Data,
1,1000,7394,2026-06-22 07:30:42,
2,1000,7288,2026-06-22 07:30:44,
3,1000,6735,2026-06-22 07:30:47,
4,1000,6908,2026-06-22 07:30:50,
5,1000,6881,2026-06-22 07:30:52,
6,1000,6659,2026-06-22 07:30:55,
7,1000,6932,2026-06-22 07:30:57,
8,1000,7340,2026-06-22 07:31:00,
9,1000,6734,2026-06-22 07:31:03,
10,1000,7041,2026-06-22 07:31:05,
11,1000,6921,2026-06-22 07:31:08,
12,1000,7093,2026-06-22 07:31:11,
13,1000,6867,2026-06-22 07:31:14,
14,1000,7144,2026-06-22 07:31:16,
15,1000,7335,2026-06-22 07:31:19,
16,1000,7087,2026-06-22 07:31:22,
17,1000,6845,2026-06-22 07:31:24,
18,1000,7118,2026-06-22 07:31:27,
19,1000,6987,2026-06-22 07:31:29,
20,1000,7226,2026-06-22 07:31:32,
21,1000,7087,2026-06-22 07:31:35,
22,1000,6625,2026-06-22 07:31:37,
23,1000,6864,2026-06-22 07:31:40,
24,1000,7043,2026-06-22 07:31:43,
25,1000,7014,2026-06-22 07:31:45,
26,1000,7083,2026-06-22 07:31:48,
27,1000,6926,2026-06-22 07:31:51,
28,1000,6615,2026-06-22 07:31:53,
29,1000,6823,2026-06-22 07:31:56,
30,1000,6798,2026-06-22 07:31:59,
31,1000,6848,2026-06-22 07:32:01,
32,1000,7225,2026-06-22 07:32:04,
33,1000,7184,2026-06-22 07:32:06,
34,1000,6884,2026-06-22 07:32:09,
35,1000,6999,2026-06-22 07:32:12,
36,1000,7203,2026-06-22 07:32:14,
37,1000,7242,2026-06-22 07:32:17,
38,1000,6798,2026-06-22 07:32:19,
39,1000,7407,2026-06-22 07:32:22,
40,1000,6978,2026-06-22 07:32:25,
41,1000,6808,2026-06-22 07:32:27,
42,1000,6813,2026-06-22 07:32:30,
43,1000,7309,2026-06-22 07:32:33,
44,1000,7075,2026-06-22 07:32:35,
45,1000,7117,2026-06-22 07:32:38,
46,1000,6905,2026-06-22 07:32:40,
47,1000,7046,2026-06-22 07:32:43,
48,1000,6848,2026-06-22 07:32:46,
49,1000,7347,2026-06-22 07:32:48,
50,1000,7124,2026-06-22 07:32:51,
